Country,GloFAS_ID,Station_filter,LT1,LT2,LT3,LT4,LT5,LT6,LT7,LT8,LT9,LT10,LT12,LT14,LT16,LT18,LT20,LT25,LT30
France,G0518,1,1.00,1.00,0.99,0.98,0.96,0.94,0.91,0.89,0.87,0.85,0.81,0.77,0.73,0.70,0.67,0.62,0.57
France,G0554,1,0.93,0.89,0.85,0.80,0.76,0.73,0.69,0.64,0.61,0.58,0.53,0.49,0.45,0.43,0.40,0.34,0.29
France,G0565,1,0.94,0.85,0.79,0.74,0.70,0.66,0.62,0.58,0.55,0.52,0.48,0.44,0.40,0.38,0.35,0.30,0.26
France,G0664,1,0.87,0.74,0.68,0.61,0.52,0.47,0.41,0.34,0.27,0.23,0.15,0.11,0.08,0.05,0.05,0.03,0.02
France,G1584,1,0.95,0.86,0.76,0.70,0.66,0.61,0.59,0.56,0.55,0.52,0.48,0.45,0.43,0.41,0.40,0.38,0.36
France,G1585,1,0.98,0.93,0.86,0.80,0.75,0.70,0.66,0.61,0.57,0.53,0.46,0.42,0.38,0.35,0.34,0.29,0.26
France,G1586,1,0.90,0.71,0.59,0.51,0.43,0.38,0.35,0.30,0.26,0.24,0.18,0.16,0.13,0.15,0.14,0.13,0.07
France,G1587,1,0.99,0.92,0.82,0.74,0.65,0.59,0.54,0.50,0.46,0.43,0.38,0.33,0.30,0.29,0.27,0.26,0.24
France,G1588,1,0.97,0.92,0.84,0.78,0.73,0.68,0.64,0.59,0.55,0.51,0.46,0.41,0.37,0.35,0.33,0.29,0.25
France,G1589,1,0.99,0.95,0.84,0.71,0.60,0.51,0.44,0.38,0.33,0.28,0.20,0.15,0.12,0.10,0.10,0.10,0.07
France,G1590,1,0.96,0.89,0.84,0.79,0.75,0.71,0.66,0.62,0.58,0.54,0.50,0.45,0.40,0.35,0.32,0.25,0.21
France,G1591,1,0.94,0.84,0.77,0.72,0.69,0.65,0.61,0.57,0.54,0.51,0.47,0.43,0.39,0.36,0.33,0.28,0.24
France,G1592,1,0.99,0.91,0.65,0.33,0.08,-0.08,-0.17,-0.23,-0.28,-0.31,-0.33,-0.34,-0.33,-0.20,-0.07,0.05,0.07
France,G1593,1,0.99,0.93,0.83,0.72,0.62,0.54,0.48,0.42,0.37,0.34,0.27,0.24,0.20,0.20,0.20,0.21,0.20
France,G1594,1,0.95,0.88,0.82,0.76,0.72,0.68,0.63,0.59,0.55,0.51,0.46,0.41,0.36,0.28,0.22,0.11,0.05
France,G1595,1,0.99,0.97,0.96,0.93,0.89,0.85,0.80,0.74,0.69,0.65,0.59,0.55,0.52,0.50,0.49,0.50,0.48
France,G1596,1,0.99,0.98,0.97,0.94,0.90,0.84,0.77,0.70,0.64,0.59,0.53,0.49,0.46,0.44,0.43,0.46,0.44
France,G1597,1,1.00,1.00,0.98,0.95,0.87,0.75,0.61,0.49,0.41,0.34,0.25,0.20,0.16,0.14,0.17,0.24,0.25
France,G1598,1,0.98,0.94,0.91,0.86,0.82,0.80,0.78,0.74,0.72,0.71,0.65,0.63,0.60,0.56,0.53,0.47,0.43
France,G1599,1,0.98,0.94,0.91,0.88,0.85,0.82,0.81,0.78,0.76,0.74,0.69,0.68,0.64,0.64,0.62,0.61,0.58
France,G1600,1,1.00,1.00,0.98,0.97,0.95,0.92,0.89,0.87,0.85,0.83,0.79,0.75,0.73,0.71,0.69,0.66,0.63
France,G1601,1,1.00,0.98,0.95,0.90,0.87,0.83,0.80,0.78,0.76,0.74,0.71,0.67,0.65,0.62,0.60,0.57,0.54
France,G3694,1,0.97,0.92,0.89,0.84,0.81,0.79,0.76,0.74,0.72,0.72,0.68,0.65,0.62,0.61,0.59,0.58,0.56
France,G3695,1,0.99,0.98,0.97,0.95,0.91,0.85,0.78,0.71,0.65,0.61,0.54,0.50,0.47,0.45,0.44,0.46,0.45
France,G3699,1,0.97,0.91,0.85,0.79,0.74,0.73,0.70,0.67,0.66,0.65,0.60,0.60,0.57,0.57,0.55,0.53,0.51
France,G3716,1,1.00,0.99,0.98,0.96,0.94,0.91,0.89,0.87,0.85,0.82,0.78,0.74,0.70,0.67,0.64,0.58,0.53
France,G3851,1,0.96,0.89,0.79,0.72,0.67,0.62,0.59,0.55,0.53,0.50,0.44,0.41,0.39,0.37,0.36,0.33,0.32
