Country,GloFAS_ID,Station_filter,LT1,LT2,LT3,LT4,LT5,LT6,LT7,LT8,LT9,LT10,LT12,LT14,LT16,LT18,LT20,LT25,LT30
France,G0518,1,0.99,0.97,0.94,0.90,0.86,0.81,0.78,0.75,0.72,0.69,0.65,0.61,0.58,0.56,0.55,0.54,0.54
France,G0554,1,0.61,0.60,0.56,0.52,0.49,0.46,0.43,0.39,0.37,0.35,0.34,0.34,0.35,0.36,0.36,0.38,0.41
France,G0565,1,0.72,0.61,0.55,0.52,0.49,0.47,0.44,0.41,0.39,0.37,0.35,0.34,0.34,0.34,0.33,0.34,0.36
France,G0664,1,0.80,0.77,0.76,0.73,0.70,0.67,0.64,0.60,0.57,0.56,0.51,0.49,0.48,0.46,0.46,0.45,0.44
France,G1584,1,0.79,0.68,0.57,0.53,0.53,0.49,0.48,0.46,0.47,0.45,0.44,0.43,0.42,0.41,0.43,0.45,0.48
France,G1585,1,0.91,0.83,0.75,0.70,0.66,0.63,0.59,0.55,0.53,0.50,0.45,0.43,0.40,0.39,0.39,0.40,0.40
France,G1586,1,0.70,0.53,0.48,0.44,0.39,0.37,0.35,0.33,0.30,0.30,0.27,0.26,0.25,0.26,0.26,0.28,0.26
France,G1587,1,0.93,0.80,0.68,0.59,0.51,0.46,0.42,0.40,0.38,0.36,0.34,0.31,0.30,0.31,0.31,0.35,0.38
France,G1588,1,0.88,0.78,0.70,0.65,0.61,0.58,0.55,0.52,0.49,0.47,0.44,0.41,0.38,0.38,0.37,0.38,0.39
France,G1589,1,0.98,0.90,0.79,0.70,0.63,0.58,0.54,0.52,0.49,0.47,0.44,0.42,0.41,0.42,0.43,0.47,0.48
France,G1590,1,0.83,0.74,0.69,0.65,0.63,0.59,0.55,0.51,0.48,0.45,0.43,0.40,0.36,0.33,0.31,0.30,0.31
France,G1591,1,0.74,0.58,0.53,0.50,0.48,0.47,0.44,0.42,0.39,0.38,0.36,0.35,0.35,0.34,0.33,0.34,0.35
France,G1592,1,0.95,0.75,0.31,-0.11,-0.35,-0.45,-0.49,-0.49,-0.51,-0.50,-0.46,-0.42,-0.37,-0.19,-0.03,0.11,0.16
France,G1593,1,0.91,0.72,0.50,0.30,0.17,0.10,0.05,0.01,-0.03,-0.04,-0.04,-0.03,0.00,0.05,0.10,0.21,0.27
France,G1594,1,0.73,0.64,0.57,0.52,0.49,0.45,0.41,0.36,0.34,0.31,0.29,0.27,0.25,0.19,0.16,0.15,0.17
France,G1595,1,0.91,0.87,0.82,0.77,0.71,0.65,0.55,0.47,0.40,0.36,0.32,0.30,0.29,0.29,0.31,0.38,0.41
France,G1596,1,0.94,0.91,0.88,0.82,0.73,0.63,0.50,0.39,0.31,0.27,0.23,0.22,0.22,0.24,0.27,0.37,0.41
France,G1597,1,0.99,0.98,0.95,0.86,0.72,0.51,0.30,0.15,0.05,0.00,-0.06,-0.06,-0.05,-0.01,0.06,0.22,0.29
France,G1598,1,0.86,0.76,0.69,0.62,0.58,0.56,0.53,0.49,0.47,0.46,0.42,0.40,0.36,0.33,0.31,0.29,0.29
France,G1599,1,0.89,0.79,0.73,0.70,0.66,0.64,0.61,0.59,0.56,0.54,0.49,0.47,0.43,0.43,0.42,0.46,0.46
France,G1600,1,0.99,0.96,0.92,0.86,0.81,0.75,0.70,0.66,0.63,0.60,0.55,0.50,0.48,0.45,0.44,0.44,0.44
France,G1601,1,0.97,0.90,0.78,0.68,0.61,0.57,0.54,0.52,0.51,0.50,0.48,0.46,0.46,0.45,0.45,0.47,0.47
France,G3694,1,0.79,0.71,0.66,0.60,0.57,0.56,0.53,0.52,0.50,0.51,0.47,0.44,0.42,0.40,0.40,0.42,0.42
France,G3695,1,0.93,0.91,0.87,0.82,0.74,0.64,0.52,0.41,0.34,0.29,0.25,0.23,0.23,0.25,0.27,0.38,0.42
France,G3699,1,0.75,0.62,0.49,0.41,0.37,0.37,0.36,0.35,0.35,0.35,0.33,0.34,0.34,0.35,0.35,0.38,0.39
France,G3716,1,0.98,0.94,0.90,0.86,0.82,0.78,0.76,0.73,0.70,0.68,0.64,0.60,0.57,0.55,0.54,0.53,0.53
France,G3851,1,0.86,0.78,0.67,0.63,0.61,0.57,0.55,0.52,0.52,0.50,0.47,0.45,0.44,0.43,0.44,0.45,0.47
